Anzahl Trainingsfragen,Confidence,Precision,Recall,F-Score
120,0.24777777777777782,0.3333333333333333,0.3333333333333333,0.26031746031746034
130,0.27999999999999997,0.2847222222222222,0.2847222222222222,0.21710758377425043
140,0.23833333333333334,0.3402777777777778,0.3402777777777778,0.27266313932980596
150,0.28,0.2777777777777778,0.2777777777777778,0.20476190476190476
160,0.2966666666666667,0.3333333333333333,0.3333333333333333,0.26031746031746034
170,0.33944444444444444,0.3333333333333333,0.3333333333333333,0.26031746031746034
180,0.32499999999999996,0.35185185185185186,0.35185185185185186,0.2880952380952381
190,0.31444444444444447,0.35185185185185186,0.35185185185185186,0.2880952380952381
200,0.3333333333333333,0.2777777777777778,0.2777777777777778,0.20476190476190476
210,0.3177777777777778,0.30925925925925923,0.30925925925925923,0.2535607035607035
220,0.2972222222222223,0.3333333333333333,0.3333333333333333,0.26031746031746034
230,0.2899999999999999,0.2777777777777778,0.2777777777777778,0.20476190476190476
240,0.26555555555555554,0.3333333333333333,0.3333333333333333,0.26031746031746034
250,0.29833333333333334,0.3333333333333333,0.3333333333333333,0.26031746031746034
260,0.34444444444444444,0.3333333333333333,0.3333333333333333,0.26031746031746034
270,0.3183333333333333,0.3333333333333333,0.3333333333333333,0.26031746031746034
280,0.3194444444444444,0.29074074074074074,0.29074074074074074,0.22578292578292578
290,0.3094444444444444,0.35185185185185186,0.35185185185185186,0.2880952380952381
300,0.3338888888888889,0.3333333333333333,0.3333333333333333,0.26031746031746034
310,0.365,0.3333333333333333,0.3333333333333333,0.26031746031746034
320,0.3861111111111111,0.3333333333333333,0.3333333333333333,0.26031746031746034
330,0.33222222222222225,0.3333333333333333,0.3333333333333333,0.26031746031746034
340,0.32,0.35185185185185186,0.35185185185185186,0.2880952380952381
350,0.35,0.3333333333333333,0.3333333333333333,0.26031746031746034
360,0.3361111111111111,0.3333333333333333,0.3333333333333333,0.26031746031746034
370,0.4127777777777778,0.3333333333333333,0.3333333333333333,0.26031746031746034
380,0.3322222222222222,0.2777777777777778,0.2777777777777778,0.23809523809523808
390,0.35111111111111115,0.2777777777777778,0.2777777777777778,0.20476190476190476
400,0.30277777777777776,0.35185185185185186,0.35185185185185186,0.2880952380952381
410,0.3572222222222222,0.3333333333333333,0.3333333333333333,0.26031746031746034
420,0.33277777777777773,0.3333333333333333,0.3333333333333333,0.26031746031746034
430,0.32666666666666666,0.3333333333333333,0.3333333333333333,0.26031746031746034
440,0.32944444444444443,0.3333333333333333,0.3333333333333333,0.26031746031746034
450,0.31611111111111106,0.3333333333333333,0.3333333333333333,0.26031746031746034
460,0.33277777777777784,0.3333333333333333,0.3333333333333333,0.26031746031746034
470,0.3361111111111111,0.3333333333333333,0.3333333333333333,0.26031746031746034
480,0.3188888888888889,0.2777777777777778,0.2777777777777778,0.20476190476190476
490,0.33222222222222225,0.2777777777777778,0.2777777777777778,0.20476190476190476
500,0.3161111111111112,0.3333333333333333,0.3333333333333333,0.26031746031746034
510,0.26555555555555554,0.2777777777777778,0.2777777777777778,0.20476190476190476
520,0.10333333333333333,0.13703703703703704,0.13703703703703704,0.14646464646464646
