Anzahl Trainingsfragen,Confidence,Precision,Recall,F-Score
0,0.5901000000000002,0.17172929824561403,0.257444,0.20602719502719502
10,0.6763000000000002,0.4879474312118596,0.501937,0.4948433806626098
20,0.7145999999999999,0.82,0.82,0.82
30,0.7978999999999999,0.84,0.84,0.84
40,0.7583999999999999,0.88,0.88,0.88
50,0.8524000000000004,0.9,0.9,0.9
60,0.8126000000000003,0.9000566037735848,0.900169,0.9001125703564727
70,0.8176999999999995,0.900048154093098,0.900144,0.9000958466453673
80,0.8703000000000004,0.9100940438871473,0.910279,0.9101863354037266
90,0.9189999999999996,0.89,0.89,0.89
100,0.8560000000000005,0.9000566037735848,0.900169,0.9001125703564727
110,0.8971999999999997,0.9100566037735848,0.910169,0.9101125703564727
120,0.8855000000000003,0.9100566037735848,0.910169,0.9101125703564727
130,0.8912000000000007,0.91,0.91,0.91
140,0.8758000000000007,0.9000566037735848,0.900169,0.9001125703564727
150,0.8514000000000004,0.9,0.9,0.9
160,0.8795000000000002,0.9000566037735848,0.900169,0.9001125703564727
170,0.8685,0.915,0.918339,0.9166666666666667
180,0.8508000000000006,0.9000566037735848,0.900169,0.9001125703564727
190,0.9157999999999995,0.930048154093098,0.930144,0.9300958466453673
200,0.8727000000000003,0.9,0.9,0.9
210,0.8593999999999994,0.9,0.9,0.9
220,0.8711000000000009,0.910048154093098,0.910144,0.9100958466453674
230,0.8835000000000005,0.9100566037735848,0.910169,0.9101125703564727
240,0.8527,0.900048154093098,0.900144,0.9000958466453673
250,0.8904000000000001,0.9100566037735848,0.910169,0.9101125703564727
260,0.8692000000000007,0.9050566037735848,0.908508,0.9067792370231393
270,0.8431000000000004,0.910048154093098,0.910144,0.9100958466453674
280,0.9048999999999994,0.9,0.9,0.9
290,0.9130999999999996,0.9,0.9,0.9
300,0.9400999999999999,0.915,0.918339,0.9166666666666665
310,0.8887000000000005,0.9,0.9,0.9
320,0.8731999999999996,0.9000826446280992,0.900245,0.9001639344262296
330,0.8963999999999992,0.9100566037735848,0.910169,0.9101125703564727
340,0.9073999999999995,0.9,0.9,0.9
350,0.8680000000000007,0.9,0.9,0.9
360,0.9297000000000001,0.9,0.9,0.9
370,0.8749999999999997,0.9,0.9,0.9
380,0.8665000000000004,0.9000826446280992,0.900245,0.9001639344262296
390,0.9169999999999997,0.9,0.9,0.9
400,0.9064999999999995,0.91,0.91,0.91
410,0.9405000000000001,0.9100566037735848,0.910169,0.9101125703564727
420,0.8549000000000007,0.9100566037735848,0.910169,0.9101125703564727
430,0.9120999999999992,0.9050826446280992,0.908585,0.9068306010928963
440,0.9368999999999993,0.9050826446280992,0.908585,0.9068306010928963
450,0.9048999999999997,0.900067571568826,0.900202,0.9001346063352897
460,0.9240999999999997,0.9000566037735848,0.900169,0.9001125703564727
470,0.8626000000000006,0.9,0.9,0.9
480,0.9032999999999994,0.9000826446280992,0.900245,0.9001639344262296
490,0.8972999999999993,0.9050566037735848,0.908508,0.9067792370231393
500,0.9071999999999996,0.9000566037735848,0.900169,0.9001125703564727
510,0.8993000000000005,0.9200940438871473,0.920279,0.9201863354037266
520,0.9354999999999998,0.9,0.9,0.9
530,0.8920000000000008,0.9000566037735848,0.900169,0.9001125703564727
540,0.9133999999999997,0.9000826446280992,0.900245,0.9001639344262296
550,0.8708000000000002,0.9000826446280992,0.900245,0.9001639344262296
560,0.9020000000000007,0.9000566037735848,0.900169,0.9001125703564727
570,0.2423999999999998,0.20045729596070566,0.201365,0.20090999667532208
580,0.9247999999999997,0.9000566037735848,0.900169,0.9001125703564727
590,0.8922999999999999,0.9000566037735848,0.900169,0.9001125703564727
600,0.8905999999999991,0.9,0.9,0.9
610,0.6787000000000003,0.7112892942205694,0.713424,0.7123550918906568
620,0.9152999999999999,0.9,0.9,0.9
630,0.892399999999999,0.93,0.93,0.93
640,0.8508999999999999,0.82,0.82,0.82
650,0.9373999999999999,0.9000566037735848,0.900169,0.9001125703564727
660,0.9128999999999995,0.9100940438871473,0.910279,0.9101863354037266
670,0.7629000000000002,0.6525793828168651,0.655744,0.6541580249019273
680,0.9099000000000013,0.92,0.92,0.92
690,0.9044999999999992,0.91,0.91,0.91
700,0.8897999999999996,0.8900566037735849,0.890169,0.8901125703564727
710,0.8808000000000002,0.9000566037735848,0.900169,0.9001125703564727
720,0.910200000000001,0.9100566037735848,0.910169,0.9101125703564727
730,0.9070999999999991,0.9,0.9,0.9
740,0.8673000000000008,0.91,0.91,0.91
750,0.8890000000000009,0.9000566037735848,0.900169,0.9001125703564727
760,0.8745000000000005,0.89,0.89,0.89
770,0.6792999999999998,0.5523181983376676,0.555623,0.5539657045808646
780,0.8820000000000009,0.9,0.9,0.9
790,0.8659000000000002,0.9050940438871473,0.908619,0.9068530020703933
800,0.8980999999999996,0.8825566037735848,0.885674,0.8841125703564728
810,0.9244999999999999,0.9100566037735848,0.910169,0.9101125703564727
820,0.8820000000000008,0.89,0.89,0.89
830,0.9004999999999989,0.9100566037735848,0.910169,0.9101125703564727
840,0.903800000000001,0.92,0.92,0.92
850,0.9155999999999999,0.96,0.96,0.96
860,0.8907000000000005,0.9,0.9,0.9
870,0.9221999999999997,0.9300566037735848,0.930169,0.9301125703564728
880,0.8902999999999998,0.9,0.9,0.9
890,0.9205,0.9100940438871473,0.910279,0.9101863354037266
