Anzahl Trainingsfragen,Confidence,Precision,Recall,F-Score
0,0.8029000000000002,0.79,0.79,0.79
10,0.7073999999999998,0.5953890264504199,0.599503,0.5974386864298492
20,0.6335999999999999,0.765048154093098,0.768485,0.766762513312034
30,0.7657999999999998,0.8550566037735848,0.858509,0.8567792370231395
40,0.8197,0.875,0.87834,0.8766666666666666
50,0.8200999999999996,0.8750566037735849,0.878509,0.8767792370231394
60,0.8666000000000001,0.9050566037735848,0.908508,0.9067792370231395
70,0.8001999999999998,0.900048154093098,0.900144,0.9000958466453673
80,0.9018999999999998,0.900048154093098,0.900144,0.9000958466453673
90,0.8891999999999999,0.900048154093098,0.900144,0.9000958466453673
100,0.8218999999999997,0.91,0.91,0.91
110,0.8233999999999999,0.9150566037735848,0.918508,0.9167792370231395
120,0.8549999999999994,0.9000940438871473,0.900279,0.9001863354037266
130,0.8851000000000002,0.9100566037735848,0.910169,0.9101125703564727
140,0.8357999999999994,0.9,0.9,0.9
150,0.8512999999999991,0.9000566037735848,0.900169,0.9001125703564727
160,0.8638000000000008,0.9200566037735848,0.920169,0.9201125703564728
170,0.8556999999999995,0.92,0.92,0.92
180,0.8420000000000003,0.9000566037735848,0.900169,0.9001125703564727
190,0.8636000000000001,0.9100566037735848,0.910169,0.9101125703564727
200,0.8977999999999998,0.9400566037735848,0.940169,0.9401125703564728
210,0.8913000000000004,0.9500566037735848,0.950169,0.9501125703564728
220,0.8354000000000005,0.9200566037735848,0.920169,0.9201125703564728
230,0.8780000000000006,0.9000566037735848,0.900169,0.9001125703564727
240,0.8786000000000003,0.9000566037735848,0.900169,0.9001125703564727
250,0.8949999999999996,0.9000566037735848,0.900169,0.9001125703564727
260,0.8918000000000003,0.9200566037735848,0.920169,0.9201125703564728
270,0.8806,0.9100566037735848,0.910169,0.9101125703564727
280,0.8586999999999998,0.9,0.9,0.9
290,0.8295000000000005,0.9150566037735848,0.918508,0.9167792370231395
300,0.8727000000000003,0.9000566037735848,0.900169,0.9001125703564727
310,0.8930999999999999,0.9200566037735848,0.920169,0.9201125703564728
320,0.908100000000001,0.93,0.93,0.93
330,0.8539000000000008,0.9000566037735848,0.900169,0.9001125703564727
340,0.8643000000000002,0.9000566037735848,0.900169,0.9001125703564727
350,0.8985,0.9400566037735848,0.940169,0.9401125703564728
360,0.9072999999999994,0.9300566037735848,0.930169,0.9301125703564728
370,0.9117999999999996,0.91,0.91,0.91
380,0.8864999999999997,0.9200566037735848,0.920169,0.9201125703564728
390,0.8890000000000002,0.9100566037735848,0.910169,0.9101125703564727
400,0.8881000000000003,0.9100566037735848,0.910169,0.9101125703564727
410,0.9046999999999996,0.9000566037735848,0.900169,0.9001125703564727
420,0.9023999999999998,0.9300566037735848,0.930169,0.9301125703564728
430,0.8801000000000002,0.9150566037735848,0.918508,0.9167792370231395
440,0.8917,0.9400566037735848,0.940169,0.9401125703564728
450,0.8819000000000002,0.9000566037735848,0.900169,0.9001125703564727
460,0.9157999999999997,0.9000566037735848,0.900169,0.9001125703564727
470,0.9107999999999996,0.9300566037735848,0.930169,0.9301125703564728
480,0.9147999999999992,0.9300566037735848,0.930169,0.9301125703564728
490,0.8824000000000001,0.8900566037735849,0.890169,0.8901125703564727
500,0.9328999999999992,0.9300566037735848,0.930169,0.9301125703564728
510,0.8874999999999996,0.950048154093098,0.950144,0.9500958466453673
520,0.4403999999999998,0.583483429794641,0.593873,0.5886323880853418
530,0.8668000000000009,0.920048154093098,0.920144,0.9200958466453674
540,0.9448999999999994,0.930048154093098,0.930144,0.9300958466453673
550,0.7890999999999998,0.672056603773585,0.674841,0.6734459036898062
560,0.3328000000000001,0.15380929168956461,0.158067,0.1559091628197276
570,0.9277999999999994,0.9300566037735848,0.930169,0.9301125703564728
580,0.8500999999999997,0.8000566037735848,0.800169,0.8001125703564728
590,0.9041000000000003,0.93,0.93,0.93
600,0.9361000000000004,0.9300566037735848,0.930169,0.9301125703564728
610,0.9091000000000001,0.9150566037735848,0.918508,0.9167792370231393
620,0.9114999999999992,0.9,0.9,0.9
630,0.4714,0.5665466849874129,0.630292,0.5967218291162887
640,0.9185999999999998,0.8700566037735848,0.870169,0.8701125703564727
650,0.8645,0.8600566037735848,0.860169,0.8601125703564727
660,0.7508000000000004,0.7525566037735848,0.755675,0.7541125703564728
670,0.20110000000000006,0.16088993710691823,0.195799,0.17663637988028236
680,0.9179999999999992,0.9100566037735848,0.910169,0.9101125703564727
690,0.8815000000000005,0.9000566037735848,0.900169,0.9001125703564727
700,0.8127999999999997,0.91,0.91,0.91
710,0.33139999999999986,0.2575727125599629,0.266154,0.2617929614473441
720,0.3385,0.3608921277743002,0.442563,0.39757664820341554
730,0.7847999999999996,0.8258627946127948,0.839822,0.8327836722664311
740,0.5691,0.5702122893754414,0.570633,0.5704225218084298
750,0.8683000000000004,0.9000566037735848,0.900169,0.9001125703564727
760,0.3565999999999996,0.4939112462394246,0.522321,0.5077188552727913
770,0.9360999999999997,0.9500940438871472,0.950279,0.9501863354037267
780,0.6645000000000008,0.6950760212493131,0.698569,0.696817996713062
790,0.7997,0.8100754716981132,0.810225,0.8101502351399003
800,0.8782999999999994,0.83,0.83,0.83
810,0.13439999999999988,0.2923441152252454,0.38377,0.33187581781162984
820,0.8597999999999999,0.8304538746468729,0.83134,0.8308965595635166
830,0.8921999999999995,0.9050566037735848,0.908508,0.9067792370231395
840,0.884300000000001,0.91,0.91,0.91
850,0.8690000000000004,0.9,0.9,0.9
860,0.9198999999999997,0.9400481540930979,0.940144,0.9400958466453673
